date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:13	126428/126428	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221eddc-5ea86405-fc2d9;gz%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.eot?	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400d41d.eot	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
01:31:14	69644/69644	---M--	200	added ('OK')	font/woff2	etag:%221100c-5ea8640c-fc2d4;;;%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.woff2	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.woff2	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
01:31:15	81612/81612	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2213ecc-5ea8640e-fc2d6;;;%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.woff	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.woff	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
01:31:16	126192/126192	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%221ecf0-5ea8640e-fc2d5;gz%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.ttf	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.ttf	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
01:31:17	713575/713575	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ae367-5ea86400-fc2d8;gz%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.svg	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-brands-400.svg	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
01:31:18	405844/405844	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263154-5ea86404-fc2d1;gz%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.eot	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.eot	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
01:31:18	405844/405844	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263154-5ea86404-fc2d1;gz%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.eot?	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-light-300d41d.eot	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
01:31:19	145656/145656	---M--	200	added ('OK')	font/woff2	etag:%22238f8-5ea863f9-fc2db;;;%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.woff2	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.woff2	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
01:31:20	191732/191732	---MCZ	200	added ('OK')	application/font-woff	etag:W/%222ecf4-5ea8640a-fc2cb;;;%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.woff	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.woff	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
01:31:21	405628/405628	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%226307c-5ea86409-fc2d3;gz%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.ttf	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.ttf	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
01:31:22	1642239/1642239	---M-Z	200	added ('OK')	image/svg+xml	etag:%22190eff-5ea86401-fc2cd;gz%22	https://demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.svg	C:/wamp64/www/classifieds/demo.graygrids.com/themes/classified/assets/fonts/fa-light-300.svg	(from https://demo.graygrids.com/themes/classified/assets/css/fontawesome.min.css)
